article_id,date,predicted_demand,predicted_demand_raw
0108775015,2020-09-23,2,1.8829758167266846
0108775015,2020-09-24,2,1.5354284048080444
0108775015,2020-09-25,2,1.5644911527633667
0108775015,2020-09-26,5,4.647336006164551
0108775015,2020-09-27,2,1.6454187631607056
0108775015,2020-09-28,6,6.490025043487549
0108775015,2020-09-29,3,3.2450430393218994
0108775015,2020-09-30,2,1.805256724357605
0108775015,2020-10-01,2,2.248955726623535
0108775015,2020-10-02,2,2.2493810653686523
0108775015,2020-10-03,3,2.6976382732391357
0108775015,2020-10-04,2,2.0947513580322266
0108775015,2020-10-05,2,1.9932868480682373
0108775015,2020-10-06,2,1.9220837354660034
0108775015,2020-10-07,2,1.99477219581604
0108775015,2020-10-08,2,1.6933702230453491
0108775015,2020-10-09,1,1.32943594455719
0108775015,2020-10-10,1,1.420493721961975
0108775015,2020-10-11,1,1.3353064060211182
0108775015,2020-10-12,1,1.3363358974456787
0108775015,2020-10-13,1,1.4259204864501953
0108775015,2020-10-14,2,1.6581488847732544
0108775015,2020-10-15,1,1.3053444623947144
0108775015,2020-10-16,1,1.132826566696167
0108775015,2020-10-17,1,1.1893447637557983
0108775015,2020-10-18,1,1.1408495903015137
0108775015,2020-10-19,1,1.1727677583694458
0108775015,2020-10-20,1,1.3582135438919067
0108775015,2020-10-21,1,1.4289896488189697
0108775015,2020-10-22,2,1.5305984020233154
0108775044,2020-09-23,2,2.222935914993286
0108775044,2020-09-24,2,2.091132640838623
0108775044,2020-09-25,2,2.078385829925537
0108775044,2020-09-26,5,5.264782428741455
0108775044,2020-09-27,2,2.0216572284698486
0108775044,2020-09-28,7,7.486018180847168
0108775044,2020-09-29,4,3.8636927604675293
0108775044,2020-09-30,2,2.345655918121338
0108775044,2020-10-01,3,2.9184179306030273
0108775044,2020-10-02,3,2.638969898223877
0108775044,2020-10-03,3,3.1387779712677
0108775044,2020-10-04,3,2.644113063812256
0108775044,2020-10-05,2,2.4047043323516846
0108775044,2020-10-06,3,2.512489080429077
0108775044,2020-10-07,3,2.5725204944610596
0108775044,2020-10-08,2,2.2583653926849365
0108775044,2020-10-09,2,2.037344217300415
0108775044,2020-10-10,2,2.2866077423095703
0108775044,2020-10-11,2,2.115168333053589
0108775044,2020-10-12,2,2.0244221687316895
0108775044,2020-10-13,2,1.9509730339050293
0108775044,2020-10-14,2,2.0797064304351807
0108775044,2020-10-15,2,1.8352770805358887
0108775044,2020-10-16,1,1.4950976371765137
0108775044,2020-10-17,1,1.4388400316238403
0108775044,2020-10-18,1,1.349414587020874
0108775044,2020-10-19,1,1.349008321762085
0108775044,2020-10-20,1,1.48897123336792
0108775044,2020-10-21,2,1.5215508937835693
0108775044,2020-10-22,2,1.5552045106887817
0111565001,2020-09-23,5,4.91589879989624
0111565001,2020-09-24,4,4.41295862197876
0111565001,2020-09-25,5,4.699912071228027
0111565001,2020-09-26,8,8.341509819030762
0111565001,2020-09-27,5,4.839754104614258
0111565001,2020-09-28,11,10.604799270629883
0111565001,2020-09-29,9,9.215807914733887
0111565001,2020-09-30,7,6.802705764770508
0111565001,2020-10-01,6,6.352354049682617
0111565001,2020-10-02,6,6.244790077209473
0111565001,2020-10-03,7,6.914093971252441
0111565001,2020-10-04,5,5.406344890594482
0111565001,2020-10-05,5,5.495325565338135
0111565001,2020-10-06,6,5.5139594078063965
0111565001,2020-10-07,6,5.78462028503418
0111565001,2020-10-08,5,5.49717378616333
0111565001,2020-10-09,5,5.155006408691406
0111565001,2020-10-10,5,5.482577323913574
0111565001,2020-10-11,5,4.675421714782715
0111565001,2020-10-12,5,4.526793956756592
0111565001,2020-10-13,5,4.755690574645996
0111565001,2020-10-14,5,5.271697998046875
0111565001,2020-10-15,5,5.155136585235596
0111565001,2020-10-16,5,5.002293109893799
0111565001,2020-10-17,5,4.950796604156494
0111565001,2020-10-18,4,4.247408866882324
0111565001,2020-10-19,4,4.244094371795654
0111565001,2020-10-20,4,4.422608852386475
0111565001,2020-10-21,5,4.667747497558594
0111565001,2020-10-22,5,4.642847061157227
0111586001,2020-09-23,7,7.3623948097229
0111586001,2020-09-24,8,8.251058578491211
0111586001,2020-09-25,10,10.448899269104004
0111586001,2020-09-26,17,16.594112396240234
0111586001,2020-09-27,8,7.633178234100342
0111586001,2020-09-28,13,13.361066818237305
0111586001,2020-09-29,13,13.38095474243164
0111586001,2020-09-30,13,13.066210746765137
0111586001,2020-10-01,12,11.742464065551758
0111586001,2020-10-02,11,11.218860626220703
0111586001,2020-10-03,12,12.315441131591797
0111586001,2020-10-04,9,8.73078441619873
0111586001,2020-10-05,9,9.151337623596191
0111586001,2020-10-06,10,10.060515403747559
0111586001,2020-10-07,11,10.778412818908691
0111586001,2020-10-08,10,10.315437316894531
0111586001,2020-10-09,11,10.903749465942383
0111586001,2020-10-10,11,11.438178062438965
0111586001,2020-10-11,8,8.275956153869629
0111586001,2020-10-12,8,8.246728897094727
0111586001,2020-10-13,9,8.50685977935791
0111586001,2020-10-14,10,9.704440116882324
0111586001,2020-10-15,9,9.278876304626465
0111586001,2020-10-16,9,9.100343704223633
0111586001,2020-10-17,10,9.553465843200684
0111586001,2020-10-18,7,7.388072490692139
0111586001,2020-10-19,7,7.080097198486328
0111586001,2020-10-20,8,7.620377540588379
0111586001,2020-10-21,8,8.187167167663574
0111586001,2020-10-22,9,9.283027648925781
0111593001,2020-09-23,7,7.340541839599609
0111593001,2020-09-24,7,7.459228515625
0111593001,2020-09-25,8,7.535356521606445
0111593001,2020-09-26,11,10.9642915725708
0111593001,2020-09-27,6,5.982994556427002
0111593001,2020-09-28,12,11.904812812805176
0111593001,2020-09-29,11,10.946367263793945
0111593001,2020-09-30,11,11.333670616149902
0111593001,2020-10-01,10,9.723358154296875
0111593001,2020-10-02,9,8.979155540466309
0111593001,2020-10-03,9,9.346902847290039
0111593001,2020-10-04,8,7.541856288909912
0111593001,2020-10-05,8,7.691074371337891
0111593001,2020-10-06,8,8.094011306762695
