article_id,price
108775015,417
108775044,417
110065001,500
110065002,463
110065011,497
111565001,326
111586001,556
111593001,556
111609001,445
114428026,667
114428030,584
116379047,542
118458004,973
118458028,1506
120129001,834
120129014,751
120129025,834
123173001,556
126589006,99
126589007,99
126589010,133
126589012,99
129085001,826
129085026,834
129085027,834
130035001,667
144993001,667
145872001,1252
145872037,1252
145872043,676
145872051,1252
145872052,1252
145872053,1252
146706001,667
146706004,667
146706005,684
146721001,99
146721002,99
146730001,454
148033001,500
148033006,389
150959011,2504
150959013,1502
153115019,1252
153115020,1252
153115021,1201
153115039,828
153115040,1252
153115043,751
156224001,321
156224002,333
156227001,302
156227002,314
156231001,278
156231002,278
158340001,556
160442007,667
160442010,667
160442043,667
162074062,99
163734002,250
163734054,133
174057032,1085
174057033,1085
174057035,1069
174057036,1085
174057037,1085
174057038,976
174057039,1085
174057040,1085
176209023,1335
176209025,918
176209033,1753
176209039,918
176209044,1753
176754001,99
176754003,99
176754019,99
179123001,723
179123040,500
179208001,556
179208008,556
179393001,417
179393018,333
179950001,1252
179950002,1252
179950017,1252
181448022,408
181448102,99
181448103,333
181448104,99
181448105,99
181448106,99
182909001,556
183815013,597
184121021,500
186262001,208
186262006,208
186262013,208
186264014,99
186264015,99
186264016,99
186266004,99
186267001,99
186372011,584
186372042,500
186372045,500
186595001,266
187949019,554
187949025,1352
187949026,1502
187949028,1123
187949029,1394
187949030,1502
187949031,1423
188183001,2504
188183008,1325
188183009,1085
188183010,1085
188183012,1419
188183014,1293
188183015,1669
188183016,1488
188183018,1502
188183020,1377
188183021,1502
188183022,1586
188183023,1252
189383001,584
189616001,834
189616006,667
189616007,834
189616008,500
189616014,333
189616015,500
189616016,834
189616028,834
189616032,834
189616038,834
189626001,500
189634001,354
189654001,250
189654045,417
189654046,375
189654047,166
190021001,417
190021003,333
190021021,166
192960023,250
194037001,556
194037002,556
194270002,417
198518010,834
198518017,834
198518031,834
198714001,667
198714006,667
200182001,485
200182002,467
200761028,402
200761029,530
201219001,984
201219003,895
201219011,803
201219012,834
201219013,855
201219014,893
201219016,923
201219017,898
204892032,166
205225001,635
211143022,417
211143040,1252
212042036,417
212042043,417
212629004,1336
212629031,534
212629035,495
212629036,333
212629043,918
212629047,1352
212629048,1085
212629049,834
212629050,667
212629051,868
212766041,792
212766043,834
212766046,751
213690001,99
213691083,99
214844001,99
214844002,99
214844003,99
215303001,643
215303002,250
215303005,572
215324023,99
215337003,166
215337059,240
215589001,802
215589002,792
216961011,99
217727002,250
217727003,133
217727018,667
218354001,333
218354020,250
218354021,124
218354045,250
218829002,1085
218829015,626
219075014,918
219075021,1085
219075023,1417
220094001,1126
220094010,667
220094011,751
220094015,760
220094016,667
220094018,1252
220094019,667
220094020,1252
220094021,667
220365002,500
220365004,500
220365007,500
224314007,500
224314011,584
224314013,158
224314017,600
224314018,500
224337001,250
224337008,166
224521007,2504
224606019,417
224606031,417
225784001,333
225784039,460
225784040,834
225784043,354
226959007,834
